COMPANY,EXPERIENCE,LOCATION,TITLE,SALARY,SKILLS,CATEGORY
Walmart,10+ yrs,Ahmedabad,Data Analyst,4300000,Python,Languages
IBM,10+ yrs,Ahmedabad,Software Engineer,3200000,C,Languages
SIBIA Analytics and Consulting Services Pvt Ltd,10+ yrs,Ahmedabad,Data Scientist,3400000,Spark,Tools
TALENT500 TECH (INDIA) PRIVATE LIMITED,10+ yrs,Ahmedabad,DevOps Engineer,3900000,Prometheus,Tools
Ankit Bhatnagar Consultant,10+ yrs,Ahmedabad,Data Scientist,4000000,Python,Languages
AXA Technology Services India Pvt. Ltd,10+ yrs,Ahmedabad,Data Scientist,3700000,R,Languages
Boston Consulting Group,10+ yrs,Ahmedabad,Data Scientist,4200000,Excel,Tools
Boston Consulting Group,10+ yrs,Ahmedabad,Data Scientist,3300000,Excel,Tools
Truecaller,10+ yrs,Ahmedabad,Data Scientist,3900000,Excel,Tools
Acme Services,10+ yrs,Ahmedabad,Data Scientist,3500000,AWS,Cloud
2Coms,10+ yrs,Ahmedabad,Data Scientist,3600000,Excel,Tools
Michelin,10+ yrs,Ahmedabad,Data Scientist,3700000,Python,Languages
Accenture,10+ yrs,Ahmedabad,DevOps Engineer,3900000,Python,Languages
Pegasus Knowledge Solutions India Private Limited,10+ yrs,Ahmedabad,Data Scientist,3600000,Python,Languages
Nanobi Data And Analytics Pvt Ltd,10+ yrs,Ahmedabad,Software Engineer,4800000,JavaScript,Languages
Gojek,10+ yrs,Ahmedabad,Software Engineer,3300000,Node.js,Frameworks
Genpact,10+ yrs,Ahmedabad,Software Engineer,3800000,JavaScript,Languages
Pegasus Knowledge Solutions India Private Limited,8 - 10 yrs,Ahmedabad,Data Scientist,2500000,Python,Languages
CareerXperts Consulting,8 - 10 yrs,Ahmedabad,Data Scientist,2500000,Python,Languages
Diverse Lynx,8 - 10 yrs,Ahmedabad,Data Scientist,1900000,AWS,Cloud
Uber,8 - 10 yrs,Ahmedabad,Data Scientist,2500000,R,Languages
TalentStack,8 - 10 yrs,Ahmedabad,Data Scientist,1700000,Tableau,Tools
AICHUNKS Private Limited,8 - 10 yrs,Ahmedabad,Data Scientist,2900000,Python,Languages
Adecco India Private Limited,8 - 10 yrs,Ahmedabad,Data Scientist,2300000,R,Languages
aioneers GmbH,8 - 10 yrs,Ahmedabad,Data Analyst,2700000,SQL,Languages
Datagrid,8 - 10 yrs,Ahmedabad,Data Analyst,2900000,SQL,Languages
itForte Staffing Services Private Ltd.,8 - 10 yrs,Ahmedabad,Data Analyst,2000000,SQL,Languages
Seven Consultancy (HR Solution),8 - 10 yrs,Ahmedabad,Data Analyst,2100000,SQL,Languages
Mudra Circle,8 - 10 yrs,Ahmedabad,Data Analyst,2700000,Excel,Tools
"Entytle, Iinc.",8 - 10 yrs,Ahmedabad,Data Analyst,2800000,SQL,Languages
Seven Consultancy,8 - 10 yrs,Ahmedabad,Data Analyst,2500000,Python,Languages
Yatra Online Private Ltd,8 - 10 yrs,Ahmedabad,Data Analyst,2700000,SQL,Languages
Team Plus Staffing Solution Pvt Ltd,8 - 10 yrs,Ahmedabad,Data Analyst,2000000,Excel,Tools
GSPANN,8 - 10 yrs,Ahmedabad,Data Analyst,2500000,Python,Cloud
Saffron Consultancy Services(scs),8 - 10 yrs,Ahmedabad,Data Analyst,2300000,Python,Cloud
PETERSON TECHNOLOGY PARTNERS (INDIA) PVT LTD,8 - 10 yrs,Ahmedabad,Data Analyst,2100000,Python,Languages
Key Point technologies IndiaPrivate limited,8 - 10 yrs,Ahmedabad,Data Analyst,2700000,Python,Languages
Arminus Software Pvt. Ltd,8 - 10 yrs,Ahmedabad,Data Analyst,2400000,Python,Languages
Harman Connected Services Corporation India Pvt.,8 - 10 yrs,Ahmedabad,Data Scientist,2700000,Python,Languages
Accenture,8 - 10 yrs,Ahmedabad,Data Scientist,1800000,Spark,Tools
Accenture,8 - 10 yrs,Ahmedabad,Data Scientist,1600000,Spark,Tools
Siemens,8 - 10 yrs,Ahmedabad,Data Scientist,1800000,Spark,Tools
Urban Company,8 - 10 yrs,Ahmedabad,Data Scientist,1800000,R,Languages
TresVista Financial,8 - 10 yrs,Ahmedabad,Data Scientist,2300000,Tableau,Tools
iMindYourBusiness,8 - 10 yrs,Ahmedabad,Data Scientist,2000000,Tableau,Tools
idfc first bank,8 - 10 yrs,Ahmedabad,Data Scientist,1800000,R,Languages
CRED,8 - 10 yrs,Ahmedabad,Data Scientist,2900000,Tableau,Tools
DXC Technology,8 - 10 yrs,Ahmedabad,Data Scientist,2200000,Tableau,Tools
Uber,8 - 10 yrs,Ahmedabad,Data Scientist,2300000,Tableau,Tools
Arrow Electronics,8 - 10 yrs,Ahmedabad,Data Scientist,2200000,Excel,Tools
Optum,8 - 10 yrs,Ahmedabad,Data Scientist,2900000,Spark,Tools
Infogain,8 - 10 yrs,Ahmedabad,Data Scientist,2200000,PowerBI,Tools
Persistent,8 - 10 yrs,Ahmedabad,Data Scientist,2400000,Excel,Tools
